ActivitySiteID,ActivityDescription,BookingEndDate,BookingStartTime,MaxBookees,Number Booked,Price (INR),Month,Day,Hour,TimeSlot,Occupancy Rate,Revenue
HXP,Gentle Keep Fit 2-3pm,05-06-18,01-01-00 14:00,25,4,999,June,Tuesday,14,Afternoon,16,3996
HXP,Gentle Keep Fit 2-3pm,12-06-18,01-01-00 14:00,25,5,999,June,Tuesday,14,Afternoon,20,4995
HXP,Gentle Keep Fit 2-3pm,19-06-18,01-01-00 14:00,25,7,999,June,Tuesday,14,Afternoon,28,6993
HXP,Gentle Keep Fit 2-3pm,26-06-18,01-01-00 14:00,25,7,999,June,Tuesday,14,Afternoon,28,6993
HXP,Gentle Keep Fit 11.10-12,07-06-18,01-01-00 11:10,27,11,999,June,Thursday,11,Morning,40.74074074,10989
HXP,Gentle Keep Fit 11.10-12,14-06-18,01-01-00 11:10,27,11,999,June,Thursday,11,Morning,40.74074074,10989
HXP,Gentle Keep Fit 11.10-12,21-06-18,01-01-00 11:10,27,12,999,June,Thursday,11,Morning,44.44444444,11988
HXP,Gentle Keep Fit 11.10-12,28-06-18,01-01-00 11:10,27,4,999,June,Thursday,11,Morning,14.81481481,3996
HXP,H.I.I.T. 6.25-7.25pm,06-06-18,01-01-00 18:25,25,15,2499,June,Wednesday,18,Evening,60,37485
HXP,H.I.I.T. 6.25-7.25pm,13-06-18,01-01-00 18:25,25,13,2499,June,Wednesday,18,Evening,52,32487
HXP,H.I.I.T. 6.25-7.25pm,20-06-18,01-01-00 18:25,25,12,2499,June,Wednesday,18,Evening,48,29988
HXP,H.I.I.T. 6.25-7.25pm,27-06-18,01-01-00 18:25,25,14,2499,June,Wednesday,18,Evening,56,34986
HXP,Jnr Gym Appoint 4-5pm,05-06-18,01-01-00 16:00,10,3,2999,June,Tuesday,16,Afternoon,30,8997
HXP,Jnr Gym Appoint 4-5pm,06-06-18,01-01-00 16:00,10,1,2999,June,Wednesday,16,Afternoon,10,2999
HXP,Jnr Gym Appoint 4-5pm,07-06-18,01-01-00 16:00,10,3,2999,June,Thursday,16,Afternoon,30,8997
HXP,Jnr Gym Appoint 4-5pm,08-06-18,01-01-00 16:00,10,1,2999,June,Friday,16,Afternoon,10,2999
HXP,Jnr Gym Appoint 4-5pm,13-06-18,01-01-00 16:00,10,2,2999,June,Wednesday,16,Afternoon,20,5998
HXP,Jnr Gym Appoint 4-5pm,19-06-18,01-01-00 16:00,10,4,2999,June,Tuesday,16,Afternoon,40,11996
HXP,Jnr Gym Appoint 4-5pm,22-06-18,01-01-00 16:00,10,1,2999,June,Friday,16,Afternoon,10,2999
HXP,Jnr Gym Appoint 4-5pm,28-06-18,01-01-00 16:00,10,2,2999,June,Thursday,16,Afternoon,20,5998
HXP,Jnr Gym Appoint 4-5pm,29-06-18,01-01-00 16:00,10,2,2999,June,Friday,16,Afternoon,20,5998
HXP,Jnr Gym Appoint 11-12,02-06-18,01-01-00 11:00,10,5,2999,June,Saturday,11,Morning,50,14995
HXP,Jnr Gym Appoint 11-12,09-06-18,01-01-00 11:00,10,5,2999,June,Saturday,11,Morning,50,14995
HXP,Jnr Gym Appoint 11-12,16-06-18,01-01-00 11:00,10,8,2999,June,Saturday,11,Morning,80,23992
HXP,Jnr Gym Appoint 11-12,23-06-18,01-01-00 11:00,10,6,2999,June,Saturday,11,Morning,60,17994
HXP,Jnr Gym Appoint 11-12,30-06-18,01-01-00 11:00,10,4,2999,June,Saturday,11,Morning,40,11996
HXP,Junior Swimfit 7pm-8pm,15-06-18,01-01-00 19:00,4,2,3999,June,Friday,19,Evening,50,7998
HXP,Junior Swimfit 7pm-8pm,22-06-18,01-01-00 19:00,4,1,3999,June,Friday,19,Evening,25,3999
HXP,Line Dancing 1.15-2.00pm,06-06-18,01-01-00 13:15,21,8,1499,June,Wednesday,13,Afternoon,38.0952381,11992
HXP,Line Dancing 1.15-2.00pm,13-06-18,01-01-00 13:15,21,9,1499,June,Wednesday,13,Afternoon,42.85714286,13491
HXP,Line Dancing 1.15-2.00pm,20-06-18,01-01-00 13:15,21,14,1499,June,Wednesday,13,Afternoon,66.66666667,20986
HXP,Line Dancing 1.15-2.00pm,27-06-18,01-01-00 13:15,21,12,1499,June,Wednesday,13,Afternoon,57.14285714,17988
HXP,Line Dancing 2pm -3pm,06-06-18,01-01-00 14:00,21,7,1499,June,Wednesday,14,Afternoon,33.33333333,10493
HXP,Line Dancing 2pm -3pm,13-06-18,01-01-00 14:00,21,10,1499,June,Wednesday,14,Afternoon,47.61904762,14990
HXP,Line Dancing 2pm -3pm,20-06-18,01-01-00 14:00,21,8,1499,June,Wednesday,14,Afternoon,38.0952381,11992
HXP,Line Dancing 2pm -3pm,27-06-18,01-01-00 14:00,21,14,1499,June,Wednesday,14,Afternoon,66.66666667,20986
